customer_id,signup_date,plan,region,signup_channel,tenure_months,monthly_spend,support_tickets,logins_last_30d,satisfaction_score,renewed
CUS-10000,2023-04-01,standard,north,referral,30,34.89,2,16,6.7,1
CUS-10001,2022-11-23,premium,east,paid_search,47,91.23,0,37,5.7,1
CUS-10002,2022-10-27,premium,north,referral,27,111.6,0,21,,1
CUS-10003,2022-01-01,premium,east,paid_search,48,92.92,1,29,9.2,1
CUS-10004,2024-05-04,basic,north,paid_search,52,18.36,2,28,7.3,1
CUS-10005,2022-12-04,basic,east,organic,35,18.16,5,20,6.6,1
CUS-10006,2023-06-27,standard,west,referral,27,46.68,1,33,5.0,1
CUS-10007,2022-10-06,standard,east,referral,3,54.63,3,14,5.3,0
CUS-10008,2023-12-21,standard,west,referral,38,53.72,1,30,7.0,1
CUS-10009,2024-05-19,premium,east,partner,37,77.62,3,24,6.2,1
CUS-10010,2022-01-01,standard,south,paid_search,47,56.17,3,26,,1
CUS-10011,2023-08-31,basic,south,referral,26,13.87,0,30,6.0,1
CUS-10012,2024-03-31,basic,north,paid_search,16,21.1,3,15,6.1,1
CUS-10013,2022-09-03,standard,north,referral,55,35.57,0,30,7.4,1
CUS-10014,2022-01-31,premium,east,referral,18,102.53,0,29,6.9,1
CUS-10015,2023-11-29,basic,north,paid_search,48,20.66,1,20,6.1,0
CUS-10016,2022-08-04,basic,east,organic,44,22.1,1,29,7.6,1
CUS-10017,2022-05-14,premium,north,paid_search,51,100.66,3,25,7.7,1
CUS-10018,2023-02-28,basic,north,partner,55,17.32,2,30,6.7,1
CUS-10019,2023-07-17,basic,south,partner,47,19.89,3,24,4.9,1
CUS-10020,2022-10-05,premium,south,referral,51,100.44,1,36,7.3,1
CUS-10021,2022-08-17,basic,west,organic,51,19.59,5,23,3.9,1
CUS-10022,2023-04-20,premium,east,paid_search,59,124.8,0,39,6.9,1
CUS-10023,2023-12-25,basic,north,paid_search,34,18.4,3,22,6.1,1
CUS-10024,2022-05-05,basic,south,paid_search,21,16.35,3,28,6.7,1
CUS-10025,2023-03-22,premium,south,organic,21,104.77,1,27,6.6,0
CUS-10026,2023-04-25,basic,north,paid_search,55,17.38,3,24,6.0,1
CUS-10027,2022-08-08,premium,west,referral,42,120.83,1,36,,1
CUS-10028,2023-03-22,basic,south,referral,44,20.46,2,22,5.1,1
CUS-10029,2023-07-12,premium,north,referral,11,106.0,1,23,5.4,1
CUS-10030,2022-08-07,standard,south,paid_search,9,51.56,1,18,7.4,1
CUS-10031,2023-05-29,basic,east,referral,57,16.18,1,32,,1
CUS-10032,2022-01-13,standard,north,organic,45,54.26,1,21,7.1,1
CUS-10033,2023-07-22,standard,south,referral,43,47.48,2,14,7.7,0
CUS-10034,2023-07-17,standard,south,organic,53,39.14,3,36,5.3,1
CUS-10035,2023-04-19,basic,west,paid_search,34,22.81,4,19,,1
CUS-10036,2022-03-18,premium,east,partner,5,103.43,0,28,6.2,1
CUS-10037,2023-11-04,basic,south,paid_search,47,18.1,0,31,8.1,0
CUS-10038,2023-05-09,premium,south,paid_search,5,105.33,1,25,,1
CUS-10039,2024-01-17,premium,east,organic,2,96.06,0,20,8.3,1
CUS-10040,2023-07-19,standard,east,organic,53,47.44,2,29,,1
CUS-10041,2022-04-04,premium,north,organic,36,114.22,1,33,6.8,1
CUS-10042,2022-03-02,standard,north,referral,19,49.81,3,28,6.0,0
CUS-10043,2022-01-17,basic,south,organic,48,18.51,1,25,5.6,1
CUS-10044,2023-12-08,basic,south,paid_search,18,16.93,2,16,6.5,1
CUS-10045,2022-03-27,basic,south,referral,30,19.51,1,27,5.5,0
CUS-10046,2023-07-03,premium,east,referral,21,113.6,4,26,5.3,1
CUS-10047,2022-04-29,standard,south,paid_search,44,57.99,1,28,8.2,1
CUS-10048,2023-03-07,basic,east,referral,8,19.72,4,15,3.0,0
CUS-10049,2024-02-03,standard,east,organic,15,50.22,2,29,7.5,0
CUS-10050,2022-08-17,standard,east,paid_search,31,45.29,4,23,3.0,1
CUS-10051,2022-11-05,standard,east,organic,55,45.13,3,31,6.6,1
CUS-10052,2023-10-03,basic,east,organic,25,18.35,1,31,,0
CUS-10053,2022-07-20,premium,west,partner,55,92.13,2,30,6.0,1
CUS-10054,2023-10-19,basic,west,paid_search,2,19.94,0,31,,1
CUS-10055,2023-08-17,premium,east,partner,4,97.57,2,17,5.4,0
CUS-10056,2023-03-27,premium,north,partner,6,90.29,0,29,9.2,1
CUS-10057,2023-02-19,premium,north,organic,35,107.64,1,21,5.6,1
CUS-10058,2023-12-15,standard,south,paid_search,51,37.02,2,31,6.7,1
CUS-10059,2022-09-18,premium,west,organic,29,96.3,2,28,5.3,0
CUS-10060,2023-12-06,basic,north,paid_search,23,20.14,1,29,7.7,0
CUS-10061,2023-02-15,premium,north,partner,12,112.5,1,28,7.3,0
CUS-10062,2024-06-07,basic,north,partner,56,17.49,3,31,6.8,0
CUS-10063,2022-02-04,premium,north,referral,14,94.37,4,15,,0
CUS-10064,2022-11-12,premium,north,partner,18,89.17,1,24,6.6,1
CUS-10065,2024-02-16,premium,east,partner,3,122.55,2,29,5.4,1
CUS-10066,2023-01-26,standard,south,partner,59,52.68,2,37,6.0,0
CUS-10067,2023-10-15,basic,north,partner,7,22.14,3,13,6.3,0
CUS-10068,2022-08-27,basic,north,partner,32,17.95,4,15,4.7,1
CUS-10069,2022-05-16,premium,east,partner,10,81.4,1,13,7.6,1
CUS-10070,2022-11-26,standard,west,referral,3,54.33,3,23,4.3,0
CUS-10071,2022-05-08,premium,south,paid_search,43,89.77,2,37,5.6,1
